"name","coordinates"
"Salerno","40.679028,14.756639"
"Livorno","43.55,10.316667"
"Catanzaro","38.9,16.6"
"Prato","43.88,11.098333"
"Massa Marittima","43.05,10.893611"
"Chianciano Terme","43.0450185,11.8134444"
"San Marino","43.9321564,12.4486256"
"Belluno","46.1399645,12.2175906"
"Tarquinia","42.2546645,11.7584678"
"Como","45.812,9.084"
